源码,运行判定,实际任务,实际退出码,范围与局限,候选源码SHA256,实测源码SHA256
drying_core.py,通过（实际三轨迹N20）,q_wrappers,0,共用PDE、物性、输入、状态/场查询、保存、诊断、关闭缓存真实调用。,dedfe48af60c43d41faf11ba66d8e767f2ed5ea9ecd0f6f9cf9a86f4467b6ebf,dedfe48af60c43d41faf11ba66d8e767f2ed5ea9ecd0f6f9cf9a86f4467b6ebf
analytic_jacobian.py,通过（完整原自检）,jacobian,0,84状态、336方向、全部3差分步长及4个短BDF测试，无警告。,43960b47fbe92f34770b1be3eebba9fed8c355d8819ad1dd030a6f9803110b33,43960b47fbe92f34770b1be3eebba9fed8c355d8819ad1dd030a6f9803110b33
disk_dense.py,通过（完整原存储自检）,dense_storage,0,N40 Q1/Q23/Q4，接受步与状态逐位相同，38337次稠密查询差值全0，close后缓存清除。,f8ade59c2f45166339613af0dc95666d8b240d45ef238ef91f5586f41e368a3a,f8ade59c2f45166339613af0dc95666d8b240d45ef238ef91f5586f41e368a3a
q1_model.py,通过（实际Q1 N20）,q_wrappers,0,原solve封装；也由时间误差检查实际调用。,7bed421147579095319aad785ee6f66328dc1d13a154db5472b9b98f8e736742,7bed421147579095319aad785ee6f66328dc1d13a154db5472b9b98f8e736742
q2_model.py,通过（实际Q23 N20）,q_wrappers,0,原solve封装至严格达标。,5c27d23b1168c445591bf0e50f8f003d11b65e7a50c6156336285236f6e21adc,5c27d23b1168c445591bf0e50f8f003d11b65e7a50c6156336285236f6e21adc
q3_model.py,通过（实际共享轨迹泛函）,q_wrappers,0,Q23/Q4事件、四位上取及未舍入阈值实际核验。,6fb1084ef3bfe3976ff52f26760574650d3d5389f93b8b09983e528cc205c808,6fb1084ef3bfe3976ff52f26760574650d3d5389f93b8b09983e528cc205c808
q4_model.py,通过（实际Q4 N20）,q_wrappers,0,原收缩solve封装至严格达标。,e78b37fde9bcab5c196c7ba6bd2033f48889d07be00fdfd8395db7957ab1c905,e78b37fde9bcab5c196c7ba6bd2033f48889d07be00fdfd8395db7957ab1c905
validate_bessel.py,通过（路径适配后完整原自检）,bessel,0,8项解析自检全部满足原容差。,5177cf016621b9f1cc6e705af7674408a72e12b0bfed7f6a3609c80b79ea4064,faff27578a3f3b85107be07d2993fd9575f56a7f92d2f8e0e4a236430d432a27
compare_analytic.py,运行完成，但原误差门槛未全通过,compare_analytic,0,exit0，报告REVIEW_REQUIRED；N400密集采样冻结D水分误差2.875083008730961e-4超过1e-4；N800为7.158659870798445e-5。,18dbb8ede83416eeb7d5d08b9a5d14131937f22c4d44ffe304a5b36180364f8a,18dbb8ede83416eeb7d5d08b9a5d14131937f22c4d44ffe304a5b36180364f8a
verify_convergence.py,通过（原入口Q1小网格）,convergence,0,N20/N40两条1800s真实解和1801整数秒×21半径的独立比较；不代替正式网格收敛。,e5aab92348b3981fb681ce6c55b50a509925b87d73ba28ea2761778998f69561,e5aab92348b3981fb681ce6c55b50a509925b87d73ba28ea2761778998f69561
verify_time_accuracy.py,通过（原监督入口Q1 N20）,time_accuracy,0,基准/紧容差两个真实子进程，退出码、投影、输入/源码快照和原比较链均完成。,5ff48fc996e69016aca8b60f54b38d542bc4fe7ecdc9b9cffd733b91313cfb19,5ff48fc996e69016aca8b60f54b38d542bc4fe7ecdc9b9cffd733b91313cfb19
verify_dense_storage.py,通过（完整原N40入口）,dense_storage,0,Q1/Q23/Q4各两条完整轨迹；3829+16162+18346=38337个查询。,e0bd4eef08a8cbab3a76f87e0e8b5d846fa625532213845a9c7117a26cce6d08,e0bd4eef08a8cbab3a76f87e0e8b5d846fa625532213845a9c7117a26cce6d08
run_experiments.py,通过（原baseline入口N20）,run_experiments,0,显式参数--batch baseline --n20 --tag _sandbox --face-scheme kirchhoff；三条轨迹均computed，未跑其他批次。,51a5747e45ee8098fa1cb36b6b2388bcb0e10ff11da9cc2b7b33baa9491f7e92,51a5747e45ee8098fa1cb36b6b2388bcb0e10ff11da9cc2b7b33baa9491f7e92
