reference_key,title,url,retrieved_at,archived_at_beijing,file,material_status,supports,bytes,sha256,original_sha256,is_derivative
wang2024,中药材干燥技术与装备研究现状,https://www.aeeisp.com/nygcxb/cn/article/pdf/preview/10.11975/j.issn.1002-6819.202306104.pdf,2026-09-12T23:58:29.607245+00:00,2026-09-13T08:06:24.827884+08:00,01_王乐意2024/刊方全文_28页.pdf,刊方完整PDF，28页；仅核读所需背景范围,摘要、引言及干燥过程；支持干燥影响脱水速率与品质的一般背景,1904169,4beca0c77feeb6836fa9cc0fb46222fff9d16889237a07bb34de2b48e071700d,4beca0c77feeb6836fa9cc0fb46222fff9d16889237a07bb34de2b48e071700d,False
wang2024,中药材干燥技术与装备研究现状,https://nygcxb.ijournals.cn/nygcxb/article/abstract/20240201,2026-09-12T23:58:29.606247+00:00,2026-09-13T08:06:24.827884+08:00,01_王乐意2024/刊方书目与摘要_原始网页.html,刊方书目及摘要原始HTML,标题、作者、卷期页码、DOI及背景摘要,51166,ef8c6f7407895616ab5af7919bff98ab54143a3149f3ef2e6562965d51d8f40e,ef8c6f7407895616ab5af7919bff98ab54143a3149f3ef2e6562965d51d8f40e,False
wang2023,数值模拟仿真研究现状及其在中药干燥领域应用展望,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37474981&retmode=xml,2026-09-12T23:58:29.609237+00:00,2026-09-13T08:06:24.827884+08:00,02_王晓辉2023/PubMed_书目与英文摘要_原始XML.xml,PubMed官方书目与摘要XML；不是论文全文,题名、8位作者、48(13):3440-3447、DOI；数值模拟的一般背景,6851,aeae735b2a038b59f606ace24f60490c845439bb3446437d318478d45564658a,aeae735b2a038b59f606ace24f60490c845439bb3446437d318478d45564658a,False
mujumdar2014,Handbook of Industrial Drying,https://api.crossref.org/works/10.1201%2Fb17208,2026-09-12T15:30:17.964880+00:00,2026-09-13T08:06:24.827884+08:00,03_Mujumdar2014/Crossref_原始书目.json,注册元数据,发行年2014、书名、出版社、DOI,1348,7cbbcdb0bf6f61005fec9ff64a6baefedfa271af1ad08b5f9559eb96df5a5000,7cbbcdb0bf6f61005fec9ff64a6baefedfa271af1ad08b5f9559eb96df5a5000,False
mujumdar2014,Handbook of Industrial Drying,https://api.pageplace.de/preview/DT0400.9781466596665_A24035542/preview-9781466596665_A24035542.pdf,2026-09-12T15:30:19.284444+00:00,2026-09-13T08:06:24.827884+08:00,03_Mujumdar2014/公开预览节选_题名版权与正文13至15页.pdf,公开预览的5页无损节选；不是全书,题名版权页与正文13-15页：平衡含水率、等温线及温度影响,1092802,e4dc718fa3c5a2efa00178f6e934bb636e98a3f2bc65c4ed605a6767a0043cf2,68be7afc8f204f66960ffe7a1922a56c3f7a54891f98e19ff5f47da7b0f35c2b,True
crank1975,The Mathematics of Diffusion,https://ndlsearch.ndl.go.jp/books/R100000074-IALIS_QQ00223544,2026-09-13T08:06:24.827884+08:00,2026-09-13T08:06:24.827884+08:00,04_Crank1975/官方馆藏书目核验.md,官方书目摘录；未取得原始HTML或整书PDF,第二版、出版社、年份、ISBN及馆藏记录；不等于原书全文,1222,c7b61fc12c80206d531d6d5f9fb2cc2239723422ed66ca3e9d55287c37b7d898,,True
eymard2000,Finite volume methods,https://www.i2m.univ-amu.fr/perso/raphaele.herbin/PUBLI/bookevol.pdf,2026-09-12T15:30:19.256548+00:00,2026-09-13T08:06:24.827884+08:00,05_Eymard2000/作者完整更新稿_2019_254页.pdf,作者2019完整更新稿254页；不是2000刊方排印版,实际核读PDF第1、7、23页：控制体守恒、共用面通量及调和平均,1999078,ca82f25367c9ec82f89a3aa6878525c2142f2fb287fc53ad93a75ae4cd177b7f,ca82f25367c9ec82f89a3aa6878525c2142f2fb287fc53ad93a75ae4cd177b7f,False
eymard2000,Finite volume methods,https://api.crossref.org/works/10.1016%2FS1570-8659%2800%2907005-8,2026-09-12T15:30:17.963879+00:00,2026-09-13T08:06:24.827884+08:00,05_Eymard2000/Crossref_原始书目.json,出版社注册元数据,2000年书章，713-1018页与正确DOI,41280,c661a43705f091a6a56b92abf38b9ea4bc644ac7093d305e88a9dc6df1f47ffa,c661a43705f091a6a56b92abf38b9ea4bc644ac7093d305e88a9dc6df1f47ffa,False
byrne1975,A Polyalgorithm for the Numerical Solution of Ordinary Differential Equations,https://api.crossref.org/works/10.1145/355626.355636,2026-09-12 (exact download time not recorded in existing evidence),2026-09-13T08:06:24.827884+08:00,06_Byrne1975/Crossref_原始书目.json,ACM注册元数据；论文全文未取得,作者、标题、1975、1(1):71-96及正确DOI,12226,a001d92679c295fcac99ab0fc085a23d938d2825324216c391fafeaa17e86327,a001d92679c295fcac99ab0fc085a23d938d2825324216c391fafeaa17e86327,False
byrne1975,A Polyalgorithm for the Numerical Solution of Ordinary Differential Equations,https://sundials.readthedocs.io/en/v7.1.0/References.html,2026-09-12T23:58:32.733939+00:00,2026-09-13T08:06:24.827884+08:00,06_Byrne1975/SUNDIALS_官方书目交叉核对.html,SUNDIALS v7.1.0官方书目网页,该论文书目交叉核对；不是论文全文,64723,f648e4c559e791c8b6d056a95b46aa63d46419ce9258f1e3397c618409993511,f648e4c559e791c8b6d056a95b46aa63d46419ce9258f1e3397c618409993511,False
scipy_bdf,scipy.integrate.BDF,https://docs.scipy.org/doc/scipy/reference/generated/scipy.integrate.BDF.html,2026-09-12T23:58:31.245954+00:00,2026-09-13T08:06:24.827884+08:00,07_SciPy_BDF/BDF_官方完整API网页.html,SciPy官方API完整网页,隐式BDF、1-5阶、稀疏Jacobian接口及dense_output；网页版本1.18.0不代替本地安装证据,37441,ae3874a85175cf32901640d7da4ce337394d123d62b8d9eaab9ea0fb0e5751df,ae3874a85175cf32901640d7da4ce337394d123d62b8d9eaab9ea0fb0e5751df,False
fao_drying,Grain storage techniques - Drying principles and general considerations,https://www.fao.org/4/t1838e/t1838e0u.htm,2026-09-12T23:58:31.380824+00:00,2026-09-13T08:06:24.827884+08:00,08_实际使用的补充网络资料/FAO_干燥原理_官方网页.html,FAO官方章节网页；最终正文未单独引用,平衡含水率与材料、温湿度有关；粮食对象的数值不可直接移植为本题药材参数,29741,d86eaaadb28e545d1eec58217f72af843c7993d0b718930a990e929a7e88ece4,d86eaaadb28e545d1eec58217f72af843c7993d0b718930a990e929a7e88ece4,False
scipy_solve_ivp,scipy.integrate.solve_ivp,https://docs.scipy.org/doc/scipy/reference/generated/scipy.integrate.solve_ivp.html,2026-09-12T23:58:32.054323+00:00,2026-09-13T08:06:24.827884+08:00,08_实际使用的补充网络资料/SciPy_solve_ivp_官方API网页.html,SciPy官方API完整网页；最终正文未单独引用,BDF刚性积分、事件与Jacobian接口核查；不替代本题运行证据,77794,1239f89c6cd44f9342dc19fe24bf7b18eee066efa2159e58c462174f3ce4dfc7,1239f89c6cd44f9342dc19fe24bf7b18eee066efa2159e58c462174f3ce4dfc7,False
shampine1997,The MATLAB ODE Suite,https://api.crossref.org/works/10.1137%2FS1064827594276424,2026-09-12T15:30:17.963879+00:00,2026-09-13T08:06:24.827884+08:00,08_实际使用的补充网络资料/Shampine1997_Crossref书目.json,核查过的补充书目；最终正文未独立引用,SciPy准定步长/NDF文献来源追查；曾取得扫描但未全文OCR或通读,8422,20f1d56964c6df13f9d2fbbe1e134f4ceb4e1e84e934a37f964257904e3cea98,20f1d56964c6df13f9d2fbbe1e134f4ceb4e1e84e934a37f964257904e3cea98,False
shampine1997,The MATLAB ODE Suite,https://www.et.byu.edu/~beard/papers/library/MatlabOdeSuite.pdf,2026-09-12T15:30:19.945970+00:00,2026-09-13T08:06:24.827884+08:00,08_实际使用的补充网络资料/Shampine1997_BYU原始扫描_35页.pdf,已取得35页原始扫描；不是正式刊物1-22页排印版，未全文已读,SciPy准定步长/NDF文献来源追查；本次目视抽查题名摘要首面与最后书目页，未全文OCR或通读,1974378,6dc922d1df01c6dc866a46aef45db5b8e5bfb49d13049b20153ea3247f1814b2,6dc922d1df01c6dc866a46aef45db5b8e5bfb49d13049b20153ea3247f1814b2,False
wang2024,中药材干燥技术与装备研究现状,https://nygcxb.ijournals.cn/nygcxb/article/abstract/20240201,2026-09-12T23:58:29.606247+00:00,2026-09-13T08:06:24.827884+08:00,01_王乐意2024/刊方书目与摘要_原始网页_离线文本.html,原网页离线文本整理版；不是原始HTML,标题、作者、卷期页码、DOI及背景摘要,15209,b24fa49488f3c5eb5bbcec964149ad22ba6c7f59b3bda93d59bc4eba6e15d7f3,ef8c6f7407895616ab5af7919bff98ab54143a3149f3ef2e6562965d51d8f40e,True
byrne1975,A Polyalgorithm for the Numerical Solution of Ordinary Differential Equations,https://sundials.readthedocs.io/en/v7.1.0/References.html,2026-09-12T23:58:32.733939+00:00,2026-09-13T08:06:24.827884+08:00,06_Byrne1975/SUNDIALS_官方书目交叉核对_离线文本.html,原网页离线文本整理版；不是原始HTML,该论文书目交叉核对；不是论文全文,41460,59c1d02d17edd679cd1fc0f30ed44f607221c4f10ba1ac1c3bed1e38b6be1c36,f648e4c559e791c8b6d056a95b46aa63d46419ce9258f1e3397c618409993511,True
scipy_bdf,scipy.integrate.BDF,https://docs.scipy.org/doc/scipy/reference/generated/scipy.integrate.BDF.html,2026-09-12T23:58:31.245954+00:00,2026-09-13T08:06:24.827884+08:00,07_SciPy_BDF/BDF_官方完整API网页_离线文本.html,原网页离线文本整理版；不是原始HTML,隐式BDF、1-5阶、稀疏Jacobian接口及dense_output；网页版本1.18.0不代替本地安装证据,12617,8d5446c87f86e2e1ab0b2a01506ab558305c8c155e27d4513a504434316a88ce,ae3874a85175cf32901640d7da4ce337394d123d62b8d9eaab9ea0fb0e5751df,True
