"文件","图号","数据行数_不含表头","用途","数据来源追踪","字段","口径说明","SHA256","与冻结绘图CSV字节一致"
"CSV/图1/temperature.csv","1","121","图1 径向温度剖面","原始数据/fig_q1_profiles_data.npz；radii_m×100，temperature_C转置","r_cm | T_100s | T_300s | T_600s | T_900s | T_1200s | T_1500s | T_1800s","首列为物理半径cm；其余七列对应100、300、600、900、1200、1500、1800 s。温度单位°C，含水率为kg水/kg干物质。N3200。","3178ED85DA9E445D6965E17A434E1129EE7755B0DEAEF42DAB86C7141D9EBCF7","是"
"CSV/图1/moisture.csv","1","121","图1 径向含水率剖面","原始数据/fig_q1_profiles_data.npz；radii_m×100，C转置","r_cm | C_100s | C_300s | C_600s | C_900s | C_1200s | C_1500s | C_1800s","首列为物理半径cm；其余七列对应100、300、600、900、1200、1500、1800 s。温度单位°C，含水率为kg水/kg干物质。N3200。","37BAAD274DC6317D4B8AF57D79D83AF58653663247FE638DDB76CD09E9F630DD","是"
"CSV/图2/observed_0_4h.csv","2","241","图2 环境观测数据 0至4小时","原始数据/A_environment_observed.csv","time_h | temperature_C | air_moisture_kg_per_kg","241条真实观测。t=4h末点为50.165°C和0.04986，必须保留。相邻观测点连直线即为分段线性插值。水分指标不是相对湿度%。","53587D9E0C837EFE21EA9456AF26857B035B370D5BB3180194F5551E38206126","是"
"CSV/图2/assumed_platform_4_60h.csv","2","2","图2 4小时后的假设平台","原始数据/Q23/summary.json；settings名义延拓，展示终点60h","time_h | temperature_C | boundary_moisture_kg_per_kg | endpoint_included","两行是水平线的绘图端点，不是实测。4h仅表示右侧极限，左端开放；60h为展示终点。虚线无实测标记，与观测系列分开。","BC53170E1802D0BB4BFAB17472AE5873D6C37AE6BD04B5B6BB66DBBA04CCCF44","是"
"CSV/图3/temperature_0_4h.csv","3","242","图3 中心与表面温度响应","原始数据/Q23/sampled_solution.npz；times_s/3600，T_K首末列","time_h | centre_T_C | surface_T_C","采用Q23从0时刻起算的同一轨迹。centre表示中心，surface表示表面；已换算小时和°C，含水率为干基kg/kg。N3200。","BAF5659461CDB25C0DD28BEB8B0804F69ED444196F923DC06EABE7069ED6B2F4","是"
"CSV/图3/moisture_to_event.csv","3","3451","图3 中心与表面含水率响应","原始数据/Q23/sampled_solution.npz；times_s/3600，C首末列","time_h | centre_C_kg_per_kg | surface_C_kg_per_kg","采用Q23从0时刻起算的同一轨迹。centre表示中心，surface表示表面；已换算小时和°C，含水率为干基kg/kg。N3200。","E97F2271EDB8F062027F4238E1E3491B60DF8CE3690030B96ED71843AA9066EA","是"
"CSV/图4/drying_main.csv","4","266","图4 全域达标过程","原始数据/fig_q3_drying_data.npz；times_s/3600，centre_C、surface_C、max_C","time_h | centre_C | surface_C | max_C | threshold_C","max_C取生产全体节点最大值；中心与最大值重合时不人为错开。threshold_C=0.15。实际曲线止于206902s，之后留空。","679B6DE5CCEC6D5904C63B2B530C4B16501442E278BD2A37B2AF8AFE8A63725C","是"
"CSV/图4/maximum_near_event.csv","4","2","图4 临界附近全域最大值保存点","原始数据/fig_q3_drying_data.npz；仅筛选已有点，未新增求解","time_s | delta_time_s | max_C | max_C_minus_threshold","仅两个已保存全域最大值点，含临界根及计算终点。横轴秒差，纵轴max_C_minus_threshold；严格报告点另见图4事件标记。","A334248C14B407BB3DE6E0959087E7BC7448E5A72914E8BC426287D5D2D53AB1","是"
"CSV/图4/centre_near_event.csv","4","4","图4 临界附近中心含水率保存点","原始数据/Q23/sampled_solution.npz；C首列，根前120s至实际终点","time_s | delta_time_s | centre_C | centre_C_minus_threshold","供观察根前走势。这里是中心样点，不应改名为全节点最大值曲线；全域最大值与严格标记请取另外两表。横轴秒差，纵轴centre_C_minus_threshold。","2723E357E65989ABC06165433C2D67050515FEAA3390D2036BE3A6C33D64F233","是"
"CSV/图4/event_markers.csv","4","2","图4 临界根与严格报告点","原始数据/Q23/summary.json；completion","kind | time_s | time_h | delta_time_s | max_C | max_C_minus_threshold | strictly_below","临界根浓度0.15为等号定义；严格报告点的最大浓度来自实际核验记录，不能用四位舍入替代。kind与strictly_below用于区分标记。","6931D514D9626DC30F0C68E81D9D9DA47FF8A8D511AA3A7811BDF0C676ED66DC","是"
